"","term","estimate","std.error","statistic","p.value","p.adjust(summary(LIN_Stunting)$coefficients[1:41, 4], method = ""BH"")","2.5 %","97.5 %"
"(Intercept)","(Intercept)",0.145234397323628,0.345281402466674,0.420626179939261,0.674119268228427,0.812908529334279,-0.532332249285242,0.822801043932498
"Age","Age",0.0197640380425682,0.00559895344951024,3.52995219924485,0.000434739796846068,0.0178243316706888,0.00877687196237373,0.0307512041227627
"Sex","Sex",-0.0873083360574106,0.027609608538551,-3.16224461985771,0.00161316543725596,0.0262343917940529,-0.141488346153539,-0.0331283259612826
"FamilySize","FamilySize",0.00277994427481374,0.00718448406849356,0.386937217524742,0.6988857616353,0.813026544836725,-0.0113186047438346,0.016878493293462
"Vaccine","Vaccine",-0.131778531826831,0.0423625058119986,-3.1107350545233,0.00191958964346729,0.0262343917940529,-0.214909047400299,-0.0486480162533634
"BCGScar","BCGScar",0.0612072563651697,0.0387805446033384,1.57829800976804,0.114816289972204,0.672495412694336,-0.0148941593868294,0.137308672117169
"Urban","Urban",0.0346373623981895,0.0359583975841085,0.963262123045694,0.335650979860961,0.792600601912975,-0.0359259830193051,0.105200707815684
"KitchenSeparate","KitchenSeparate",0.0490485246924224,0.0496512561449278,0.987860700830084,0.323462000601483,0.792600601912975,-0.0483851479169323,0.146482197301777
"CookElectric","CookElectric",-0.0373918982444887,0.0310793645138563,-1.20311012883864,0.229221046868041,0.783271758833802,-0.0983808210244256,0.0235970245354482
"Cattle","Cattle",0.0701374079795061,0.0583004094799041,1.20303456879976,0.229250270878186,0.783271758833802,-0.0442690230214665,0.184543838980479
"SheepGoat","SheepGoat",-0.0261564593473717,0.057584656603808,-0.454226193052301,0.649765498300127,0.812908529334279,-0.139158325050033,0.0868454063552891
"Chicken","Chicken",-0.0144642662565469,0.0314196297474641,-0.46035762906195,0.645360535970505,0.812908529334279,-0.0761209121505762,0.0471923796374824
"HousePet","HousePet",0.0514354722859986,0.0276920301583301,1.85741066985391,0.0635492324007257,0.478137785573088,-0.00290627875569688,0.105777223327694
"PotableWaterFromHouse","PotableWaterFromHouse",-0.0320665932810534,0.0311002918803253,-1.03107049298593,0.302759330944668,0.792600601912975,-0.0930965831020168,0.0289633965399101
"DontTreatWater","DontTreatWater",0.018022459188555,0.0381288162720747,0.472672926952483,0.636550623067044,0.812908529334279,-0.0568000305142575,0.0928449488913676
"LatOutside","LatOutside",0.0722597075553584,0.1085889379944,0.66544262141218,0.505922274640455,0.812908529334279,-0.14083095429338,0.285350369404097
"DefecateField","DefecateField",-0.0206490501863911,0.0377447384938234,-0.547070956386946,0.584453151942358,0.812908529334279,-0.0947178407603551,0.0534197403875728
"DontUseSchoolLat","DontUseSchoolLat",-0.0512699757920339,0.0350998043617209,-1.46069121251137,0.144417162794829,0.696944667077585,-0.120148451632603,0.0176085000485351
"DontUseTP","DontUseTP",0.0774158601288468,0.0413667455244169,1.87145155238649,0.0615769556150057,0.478137785573088,-0.00376061461281528,0.158592334870509
"EatSoil","EatSoil",0.0579176760531465,0.0642138610618321,0.901949751898225,0.367302717959671,0.792600601912975,-0.0680930797959841,0.183928431902277
"NeverWashFruit","NeverWashFruit",-0.0520126766589787,0.0773546723099628,-0.672392178853297,0.501490798297042,0.812908529334279,-0.203810443761852,0.0997850904438943
"EatRawVeg","EatRawVeg",-0.0130082286370924,0.0302321167356886,-0.430278460182588,0.66708664708892,0.812908529334279,-0.0723345456937012,0.0463180884195164
"WashRawVegFrequency","WashRawVegFrequency",-0.0504140457737491,0.0723750508379895,-0.696566637121958,0.486237388231932,0.812908529334279,-0.192439999514991,0.091611907967493
"WalkBarefoot","WalkBarefoot",0.0381892109016203,0.0282395119492203,1.35233253925533,0.176577464344867,0.723967603813953,-0.017226896877747,0.0936053186809876
"DewormPill","DewormPill",0.00415429444411347,0.0280239749343533,0.148240727942591,0.882182947533145,0.924691213993301,-0.0508388519728978,0.0591474408611248
"Antibiotics","Antibiotics",-0.0519415096304348,0.0465278914826225,-1.1163521057006,0.264542047300624,0.792600601912975,-0.143246014247375,0.0393629949865052
"DocConfirmedAsthma","DocConfirmedAsthma",-0.130496780247172,0.140067446784092,-0.931671014524359,0.351733482823433,0.792600601912975,-0.405359629907092,0.144366069412748
"Rash","Rash",-0.0150262540557898,0.0523760461047484,-0.286891721947441,0.774255200451162,0.850447227067258,-0.117806947334662,0.0877544392230821
"momFinishedPrimary","momFinishedPrimary",-0.00850725986505407,0.0316612554709107,-0.268696226303163,0.788219381184288,0.850447227067258,-0.0706380625772629,0.0536235428471548
"houseDustFloor","houseDustFloor",0.0265477572808182,0.0316939828593013,0.837627678372622,0.402441804727249,0.812908529334279,-0.0356472683714206,0.088742782933057
"washHandsLatWater","washHandsLatWater",-0.063393487963485,0.0874807272164627,-0.724656618441498,0.468833767689504,0.812908529334279,-0.235062227025343,0.108275251098373
"washHandsLatWaterSoap","washHandsLatWaterSoap",-0.0612282335193282,0.0848482613410804,-0.721620367366134,0.470698132294048,0.812908529334279,-0.227731125064487,0.10527465802583
"washHandsWaterB4Eat","washHandsWaterB4Eat",-0.134186591011186,0.315469817233848,-0.425354768287446,0.67067042229563,0.812908529334279,-0.753252155047994,0.484878973025621
"washHandsSoapB4Eat","washHandsSoapB4Eat",-0.115638823321249,0.315299072332161,-0.366759161281088,0.7138769661981,0.813026544836725,-0.734369324277233,0.503091677634735
"SickLast2Weeks","SickLast2Weeks",-0.00374437094916048,0.0304438323301981,-0.122992759536595,0.902137769749562,0.924691213993301,-0.0634861503630864,0.0559974084647655
"NailsMaintained","NailsMaintained",-0.0284550671033053,0.0269887961684851,-1.05432887505121,0.291989353556282,0.792600601912975,-0.0814168194167846,0.0245066852101739
"SchoolLatClean","SchoolLatClean",-0.230142875928128,0.160921677684625,-1.43015458973255,0.152987853748738,0.696944667077585,-0.545929248250826,0.0856434963945703
"RadioTV","RadioTV",0.00131795274353652,0.0460571278211727,0.028615608612282,0.977176924765075,0.977176924765075,-0.089062743776138,0.091698649263211
"RiverCleaning","RiverCleaning",-0.0135725748949623,0.0304662042501192,-0.445496090800653,0.65605858472022,0.812908529334279,-0.0733582560848045,0.0462131062948799
"OtherMeds","OtherMeds",0.126481547514971,0.0697230581808642,1.81405622207324,0.0699713832545982,0.478137785573088,-0.0103402401209357,0.263303335150878
"momFinished2Up","momFinished2Up",0.0216257924788642,0.0361999013995585,0.597399209466576,0.55037735323497,0.812908529334279,-0.0494114705293511,0.0926630554870796
