"","term","estimate","std.error","statistic","p.value","p.adjust(summary(OR_Thinness)$coefficients[1:41, 4], method = ""BH"")","2.5 %","97.5 %"
"(Intercept)","(Intercept)",3.08921715601398e-16,7341.25849467569,-0.00486475769822882,0.996118500250386,0.998279993024565,0,7.11470212549769e+135
"Age","Age",1.05422833449639,0.0734940222113991,0.718549090287017,0.47241879078547,0.998279993024565,0.910689074247172,1.2163005476174
"Sex","Sex",1.00626178967213,0.380494572251193,0.0164056640530353,0.986910761097306,0.998279993024565,0.476379834867823,2.13798142753139
"FamilySize","FamilySize",1.14074016330633,0.0931154042853502,1.41413033421455,0.157323638060422,0.814389058117285,0.944756106053832,1.36182536709745
"Vaccine","Vaccine",1.23373472261,0.513736059222129,0.408859617752674,0.68264268555228,0.998279993024565,0.446016559267349,3.3997034249152
"BCGScar","BCGScar",0.680681855876867,0.469955317412512,-0.818503886914834,0.413069523488679,0.998279993024565,0.276245352328536,1.77023904763531
"Urban","Urban",1.03862605557883,0.494818749235375,0.0765911546084286,0.938948795883559,0.998279993024565,0.409508545775741,2.91970653888387
"KitchenSeparate","KitchenSeparate",0.978108101310191,0.661155002098324,-0.0334794139776456,0.973292281894185,0.998279993024565,0.306540038637821,4.43794255977852
"CookElectric","CookElectric",1.9586444973518,0.409385728464832,1.64210084588372,0.100569106420922,0.814389058117285,0.884377036763749,4.44742254766673
"Cattle","Cattle",0.292980352597658,0.961386507321803,-1.2769575179644,0.201617245796901,0.814389058117285,0.033984706976967,1.63397230568983
"`Sheep/Goat`","`Sheep/Goat`",5.56273983667353,0.668266720696068,2.56797280205833,0.010229518183676,0.419410245530715,1.37378269900862,19.6504080534858
"Chicken","Chicken",0.484612170633453,0.494889899831843,-1.46377276311033,0.143256046734246,0.814389058117285,0.168978246021528,1.20232863046975
"HousePet","HousePet",1.20241454184968,0.368208018205352,0.500618249167847,0.616639816567491,0.998279993024565,0.574861041695039,2.45973189311537
"PotableWaterFromHouse","PotableWaterFromHouse",0.720024491722503,0.423445416852482,-0.77570812717936,0.43792134013199,0.998279993024565,0.316344501143146,1.68120965746026
"DontTreatWater","DontTreatWater",0.931436356871675,0.480607968368312,-0.147786593693541,0.882511189836,0.998279993024565,0.379954263536063,2.55780036489722
"LatOutside","LatOutside",16848458.0244754,2634.92501330016,0.00631508282576657,0.994961326403763,0.998279993024565,2.97847982265912e-47,Inf
"DefecateField","DefecateField",1.44701510359736,0.509299869243969,0.725511447731211,0.468138324468988,0.998279993024565,0.502967034041195,3.79416951076746
"DontUseSchoolLat","DontUseSchoolLat",0.704230224549899,0.519510840354789,-0.674961763140071,0.499700058448345,0.998279993024565,0.233479669809116,1.83843265194712
"DontUseTP","DontUseTP",0.69722073554466,0.587142659908698,-0.614251440464691,0.539049185729822,0.998279993024565,0.190637382585762,2.00842083978642
"EatSoil","EatSoil",0.622695099166835,0.835165562289058,-0.56719087665938,0.570584505816171,0.998279993024565,0.144050295569333,4.41607711609017
"NeverWashFruit","NeverWashFruit",1.12971160561444e-07,1648.82808406313,-0.0097015167449472,0.992259430996013,0.998279993024565,3.38551971076295e-244,3.48741386967362e+23
"EatRawVeg","EatRawVeg",1.20795727451809,0.428150830893043,0.441271431650952,0.659016505596513,0.998279993024565,0.538176959388234,2.93545708077599
"WashRawVegFrequency","WashRawVegFrequency",1.07051510649535,1.12606002699086,0.0605118190331787,0.95174800287347,0.998279993024565,0.168779718784665,21.3572284112537
"WalkBarefoot","WalkBarefoot",0.939436973826116,0.391279460584226,-0.159667331094203,0.873143136700384,0.998279993024565,0.42979975094571,2.01203208737551
"DewormPill","DewormPill",1.07233862782347,0.376956361418762,0.185278467429309,0.853010626130622,0.998279993024565,0.517144388443182,2.29203499040028
"Antibiotics","Antibiotics",0.689704489579161,0.673320869641683,-0.551731077780353,0.581132614237028,0.998279993024565,0.149857195824678,2.27745133292749
"DocConfirmedAsthma","DocConfirmedAsthma",4.97430118060523,1.3044493288899,1.22985604653537,0.218751015998179,0.814389058117285,0.20756484917234,54.2719534485737
"Rash","Rash",1.20583303065654,0.751154177194794,0.249177393306764,0.803223565541583,0.998279993024565,0.215553933630977,4.52500316003825
"momFinishedPrimary","momFinishedPrimary",0.922121721593883,0.455591173619726,-0.17796228230854,0.85875259720495,0.998279993024565,0.37612346067965,2.28863150433162
"houseDustFloor","houseDustFloor",0.562411373921006,0.481407816882435,-1.19549723666278,0.231892815247191,0.814389058117285,0.207036942843136,1.39161432119698
"washHandsLatWater","washHandsLatWater",0.303168434721516,0.895775858058154,-1.33232741987446,0.182752620652065,0.814389058117285,0.058676476770435,2.30777618472761
"washHandsLatWaterSoap","washHandsLatWaterSoap",0.353582409111101,0.830947111663695,-1.25114905973204,0.210880099311697,0.814389058117285,0.0820009924992956,2.4836960842794
"washHandsWaterB4Eat","washHandsWaterB4Eat",2600309.24041446,6852.09789103742,0.00215571072822248,0.998279993024565,0.998279993024565,0,NA
"washHandsSoapB4Eat","washHandsSoapB4Eat",9985846.63977604,6852.09783119472,0.00235207956883356,0.99812331375664,0.998279993024565,0,NA
"SickLast2Weeks","SickLast2Weeks",0.836997356444284,0.432811659151337,-0.41111269325918,0.680989902901948,0.998279993024565,0.340064778319897,1.88658011377712
"NailsMaintained","NailsMaintained",1.79301203122348,0.385315957101166,1.51537172013638,0.129678294916449,0.814389058117285,0.858450500912608,3.93750551883637
"SchoolLatClean","SchoolLatClean",10.3257326770712,1.2548440929898,1.86050132509021,0.0628146311548015,0.814389058117285,0.449820941379372,94.3715587093207
"`Radio/TV`","`Radio/TV`",0.514288561871197,0.563963987177555,-1.17910147058282,0.238357773107498,0.814389058117285,0.180726786876036,1.71607323657343
"RiverCleaning","RiverCleaning",1.21687415633559,0.417117183558369,0.470576163191159,0.637943433151561,0.998279993024565,0.531646439211122,2.75165351652978
"OtherMeds","OtherMeds",9.62816251151159e-08,1474.2339236761,-0.0109589042048605,0.991256234549488,0.998279993024565,1.59144472677053e-223,28800253914280251392
"`momFinished2+`","`momFinished2+`",1.54001565948929,0.462899478628928,0.932799894595499,0.350923295664166,0.998279993024565,0.626667784832134,3.90984436303664
