"","term","estimate","std.error","statistic","p.value","p.adjust(summary(OR_Wasting)$coefficients[1:41, 4], method = ""BH"")","2.5 %","97.5 %"
"(Intercept)","(Intercept)",5.93205721984391e-18,5080.9874120671,-0.00780678190807891,0.993771152516447,0.999964099612909,0,1.69283497227312e+74
"Age","Age",1.87933201422611,0.159153071168328,3.96421129350748,7.36390073996558e-05,0.00301919930338589,1.39067138235847,2.60266435015204
"Sex","Sex",0.671801250641342,0.328802306462306,-1.20982344819348,0.226346646638211,0.999964099612909,0.348867870379591,1.27352259194692
"FamilySize","FamilySize",1.01236022607652,0.0884358531137058,0.138908165828779,0.889522718132086,0.999964099612909,0.848369256826458,1.20151340689531
"Vaccine","Vaccine",1.051379176894,0.600588849498615,0.0834228010164031,0.93351535911138,0.999964099612909,0.302450165848263,3.29073573514516
"BCGScar","BCGScar",1.4230170028922,0.538597032068823,0.654996679624153,0.512469891854853,0.999964099612909,0.529493845161531,4.51228700870871
"Urban","Urban",0.981012236236984,0.446622173945853,-0.0429229612512846,0.965762945183933,0.999964099612909,0.418185529058898,2.44167662517535
"KitchenSeparate","KitchenSeparate",0.819134718127079,0.599570774864962,-0.332749236657687,0.739323579835865,0.999964099612909,0.275083510502326,3.04758287836246
"CookElectric","CookElectric",0.728077108590366,0.360754772955777,-0.879678778470243,0.379033348826298,0.999964099612909,0.353105694715031,1.46252355778176
"Cattle","Cattle",0.998558445896792,0.886628059676886,-0.00162705671923482,0.998701797136964,0.999964099612909,0.12873931820846,4.74503871319614
"`Sheep/Goat`","`Sheep/Goat`",0.461500189006197,1.17308765135549,-0.659177355245581,0.50978188647339,0.999964099612909,0.0217135819060048,3.16482841031804
"Chicken","Chicken",0.547755359249443,0.411518711645675,-1.46269537545809,0.143550752154276,0.999964099612909,0.23247378651498,1.18257303713959
"HousePet","HousePet",1.61881845806229,0.32466717039449,1.4836625941608,0.137898454504097,0.999964099612909,0.852090862611667,3.06011896041158
"PotableWaterFromHouse","PotableWaterFromHouse",1.00787530983619,0.36255357571365,0.0216366958258729,0.982737761340663,0.999964099612909,0.500444512371771,2.08778804123668
"DontTreatWater","DontTreatWater",1.28959384605747,0.495791262451374,0.512972575441492,0.607970504567682,0.999964099612909,0.518828824671033,3.7286931210281
"LatOutside","LatOutside",17060533.8788731,3105.2291992907,0.00536265677185162,0.995721239465026,0.999964099612909,7.38726503124028e-76,NA
"DefecateField","DefecateField",0.358653683365894,0.500887819413341,-2.04716103413869,0.0406422759171766,0.83316665630212,0.123741572330063,0.901891213731919
"DontUseSchoolLat","DontUseSchoolLat",0.58128253855198,0.500384043165841,-1.08420392447071,0.278274392011873,0.999964099612909,0.199386775739095,1.45732623223943
"DontUseTP","DontUseTP",0.943171379645066,0.606028358185301,-0.0965421391868764,0.923090007974041,0.999964099612909,0.250872356640929,2.84626061951927
"EatSoil","EatSoil",0.704702316748671,0.746827176877213,-0.468622222012165,0.639339690414046,0.999964099612909,0.179953017722922,3.63539770734979
"NeverWashFruit","NeverWashFruit",1.47965866305228e-07,1361.1247150337,-0.0115538892572864,0.990781535243939,0.999964099612909,2.66011470763187e-219,2141910378470084
"EatRawVeg","EatRawVeg",0.77054025563769,0.344956164743047,-0.75564203833846,0.449863844209651,0.999964099612909,0.393433531174667,1.53187508112538
"WashRawVegFrequency","WashRawVegFrequency",1.70857753821848,1.12244766196779,0.477225970966055,0.63320121943174,0.999964099612909,0.277901969432304,34.2314591502121
"WalkBarefoot","WalkBarefoot",1.0534169621747,0.351880861935177,0.147888492606828,0.882430769912274,0.999964099612909,0.526447667941467,2.10376203788381
"DewormPill","DewormPill",1.11141090379647,0.342669030429143,0.308257482589735,0.757886415732636,0.999964099612909,0.573398533267482,2.2132363582195
"Antibiotics","Antibiotics",1.74000134264172,0.497074245975868,1.11429205866803,0.265153912737315,0.999964099612909,0.630934990478406,4.49892254488639
"DocConfirmedAsthma","DocConfirmedAsthma",1.44140759574394e-07,2363.73407092894,-0.00666423338881538,0.994682750427794,0.999964099612909,0,1.24303334064979e-206
"Rash","Rash",0.749426962860231,0.598656214452191,-0.481823134952363,0.629931593254576,0.999964099612909,0.200896439370779,2.21195010863666
"momFinishedPrimary","momFinishedPrimary",0.803703807087768,0.390307596207666,-0.559877591280867,0.575562934515923,0.999964099612909,0.375781199050381,1.75187194068316
"houseDustFloor","houseDustFloor",0.66379797112786,0.374303991448295,-1.09477175107412,0.273616645255691,0.999964099612909,0.312409835617958,1.36479017992045
"washHandsLatWater","washHandsLatWater",10046502.9759724,1713.8912237878,0.00940709360404699,0.992494335951768,0.999964099612909,3.91497189139047e-44,NA
"washHandsLatWaterSoap","washHandsLatWaterSoap",9453342.10421057,1713.89122039575,0.00937158596043147,0.992522665703599,0.999964099612909,3.23153591313235e-45,NA
"washHandsWaterB4Eat","washHandsWaterB4Eat",0.821436655600737,4371.65910926446,-4.49944626919185e-05,0.999964099612909,0.999964099612909,5.78247255591898e-135,0
"washHandsSoapB4Eat","washHandsSoapB4Eat",0.723630149044186,4371.65910190143,-7.39936151111434e-05,0.999940961636959,0.999964099612909,4.46359421967224e-24,7.01658267261399e+25
"SickLast2Weeks","SickLast2Weeks",0.760045424128656,0.375335630561833,-0.731017938496232,0.464768196023839,0.999964099612909,0.354730371758244,1.55735146812079
"NailsMaintained","NailsMaintained",0.932696990339971,0.344399578471408,-0.202308319856688,0.839675696151425,0.999964099612909,0.476978432650137,1.85253705011869
"SchoolLatClean","SchoolLatClean",16.2898929643892,1.69852348008601,1.64292391873093,0.100398675519682,0.999964099612909,0.432814483515095,619.026913431876
"`Radio/TV`","`Radio/TV`",0.895861113402418,0.515820749034443,-0.21319399343922,0.831175653120017,0.999964099612909,0.342291905760899,2.66385670017036
"RiverCleaning","RiverCleaning",1.1402807553355,0.357434138324889,0.367269084342647,0.713418312309413,0.999964099612909,0.560628762785188,2.2897506447366
"OtherMeds","OtherMeds",0.553847795263606,0.855601760091347,-0.690584563208981,0.489826651140271,0.999964099612909,0.0754428492636575,2.47317018323219
"`momFinished2+`","`momFinished2+`",0.608644909133059,0.450024548502174,-1.10331815232863,0.269889026354319,0.999964099612909,0.24911190914741,1.471604139648
