"Variable_Name","C_Odds_Ratio","Conf_025","Conf_975","P_Value"
"Age","0.117985595170502","0.0622853433471975","0.220972088235691",0.000000000637946342425352
"HouseholdNumb","0.25288619097866","0.156068662861231","0.408160084414915",0.000000320664179411034
"NumbOldSib","0.281178882719072","0.226377733075773","0.347146880742678",0.0000000000000000000000000000097398957711371
"Young12","0.271446470548754","0.21237856122728","0.344549744120825",0.00000000000000000000000140638093342805
"FeverPWeek","0.294859396469837","0.251556875227123","0.344164385776749",0.00000000000000000000000000000000000000000000000000669082921823869
"DiarrheaPWeek","0.295121566650059","0.252208602715422","0.343873615860243",0.000000000000000000000000000000000000000000000000000610922009770124
"CoughPWeek","0.294917574082845","0.251771425740886","0.343987536465511",0.00000000000000000000000000000000000000000000000000251654517818362
"DistLatHouse","0.2734248987827","0.206029127495888","0.365670378352163",0.00000000000000000541372267938973
"DistLatKitch","0.280415469082268","0.217081131637476","0.36594369765726",0.0000000000000000000120372134905907
"WeeksDeworming","0.305614485263561","0.246613332141583","0.376037635284437",0.0000000000000000000000000108024561518589
"Sex","0.356948228883882","0.29142544443341","0.434456577990426",0.000000000000000000000141398218754297
"VaginalDeliv","0.211267605633793","0.116523649916595","0.35790648483476",0.000000627136441929032
"Csection","0.295148247978976","0.253308732627452","0.342481133951713",0.00000000000000000000000000000000000000000000000000000078151494549023
"No.Vaccine","0.253886010362771","0.211129836345502","0.303318529055424",0.00000000000000000000000000000000000000000000000454619503888968
"NoBCG","0.273706896551971","0.224063681971285","0.331903709394369",0.00000000000000000000000000000000000126170669735531
"Fever","0.287009063444535","0.243641787754751","0.336471341751317",0.0000000000000000000000000000000000000000000000000365502796323256
"Diarrhea","0.292825768668147","0.249544805147204","0.34205780277116",0.00000000000000000000000000000000000000000000000000708554960798586
"Cough","0.289120715350664","0.245827429780965","0.338443297723579",0.0000000000000000000000000000000000000000000000000157220325181942
"NoTrimNails","0.273291925466076","0.224605327726907","0.330190616038897",0.0000000000000000000000000000000000000386887109601446
"DirtyNails","0.277207392197411","0.228270365539316","0.334330232678835",0.000000000000000000000000000000000000047805705563404
"TrimOnce2Week","0.274809160305596","0.22109729119809","0.338637826431335",0.000000000000000000000000000000540305166446316
"TrimOnceMonth","0.309128630706134","0.256447687313263","0.370420605998605",0.000000000000000000000000000000000245936773668276
"NoLatDoors","0.295194508009692","0.24166767196519","0.35805710198376",0.0000000000000000000000000000000177829941648952
"Flies","0.333333333334347","0.0739548942803673","1.11718869844374",0.496845594991991
"StoolFloor","0.11111111299764","0.00602488506749651","0.591201854033291",0.296814446705306
"Suburban","0.291858678955938","0.247687370576092","0.342266356570566",0.00000000000000000000000000000000000000000000000117425981544568
"Rural","0.291666666667151","0.251391451511647","0.337065502991948",0.0000000000000000000000000000000000000000000000000000000000457562277966811
"NoLitMom","0.283712784588813","0.237586368073674","0.336877428443136",0.0000000000000000000000000000000000000000000959758058735508
"PrimMom","0.302375809935849","0.249455052428607","0.364186733524461",0.00000000000000000000000000000000113500149099138
"HSMom","0.287081339713338","0.242592765475512","0.338006220028035",0.0000000000000000000000000000000000000000000000157140081637176
"KitchSep","0.235294117647077","0.131840138121211","0.394812076669569",0.00000210680924164132
"KitchRoof","0.278481012658529","0.169579586696616","0.438406366649301",0.0000013659358798629
"KitchWall","0.375000000000969","0.263616392547046","0.524004379798135",0.000000320664179411034
"CookWood","0.227777777777785","0.160161022538477","0.316194893284065",0.000000000000000285669025770402
"CookGas","0.291457286432651","0.251295515964985","0.336715552825856",0.0000000000000000000000000000000000000000000000000000000000213979925133367
"CookCoal","0.300000000000616","0.217313617711754","0.406907716203755",0.00000000000093257973269307
"CookKerosine","0.293081761006291","0.252755685839584","0.338521239282678",0.0000000000000000000000000000000000000000000000000000000000474152185383928
"CookElectric","0.326315789474619","0.271411968033239","0.390143625658418",0.000000000000000000000000000000040987628133545
"NoElect","0.290956749672815","0.250031737457629","0.33719557200791",0.0000000000000000000000000000000000000000000000000000000046457499728454
"Radio","0.356932153393371","0.28898589714955","0.437856332723038",0.00000000000000000000684740539866477
"TV","0.289156626506476","0.207573999100182","0.395210447231465",0.000000000000776511688771915
"Phone","0.206896551724122","0.0775300511397746","0.46463916649494",0.00443200458869308
"Cattle","0.28133333333367","0.240937586041554","0.327069256258865",0.0000000000000000000000000000000000000000000000000000000012160901790152
"SheepGoat","0.288203753351643","0.247089544519567","0.334734069363297",0.0000000000000000000000000000000000000000000000000000000299225061639416
"Chicken","0.288194444444874","0.241799339033625","0.341606535289646",0.000000000000000000000000000000000000000000142590411070929
"Pet","0.26153846153858","0.21576116493072","0.314826462766965",0.00000000000000000000000000000000000000000226791221053475
"None","0.328054298643483","0.27109836566091","0.394622077082939",0.00000000000000000000000000000935115120068629
"PotableWater","0.347826086957563","0.27152659654552","0.441345548474832",0.000000000000000313262782567414
"DrinkDirect","0.242187500000028","0.160813123005999","0.353452258159285",0.000000000026615471512428
"OwnLatrine","0.333333333334323","0.0931863192898875","0.95687802004842",0.342357638652204
"Outside.Latrine","0.142857142862948","0.022429733290359","0.511207074897693",0.0904230668318652
"Sewage","0.291348600509396","0.250956768116025","0.336901133136982",0.000000000000000000000000000000000000000000000000000000000110699260569597
"Ditch","0.303430079155681","0.261278901371318","0.351014606741297",0.00000000000000000000000000000000000000000000000000000114534458125638
"River","0.29434447300824","0.253496127109861","0.340426406451875",0.00000000000000000000000000000000000000000000000000000000134269346104314
"SometimesBathRiv","0.267504488330511","0.222532502694708","0.319542472475508",0.0000000000000000000000000000000000000000000123772823501828
"NeverBathRiv","0.320284697509776","0.251305229508887","0.404258549894755",0.000000000000000000147012385737476
"SometimesWashCloth","0.258652094717768","0.214318153160444","0.310072368725835",0.00000000000000000000000000000000000000000000483407141035887
"NeverWashCloth","0.318611987382565","0.253519384912851","0.396964184729195",0.000000000000000000000425896477349749
"AlwaysDeficate","0.290726817043081","0.250675574832359","0.335857070621911",0.0000000000000000000000000000000000000000000000000000000000117163698246889
"SometimesDeficate","0.288753799392541","0.24509751286282","0.338555800589049",0.000000000000000000000000000000000000000000000000128539970515926
"AlwaysSchoolLat","0.290364583333806","0.249617135236961","0.3363872497384",0.0000000000000000000000000000000000000000000000000000000015821930514645
"SometimesSchoolLat","0.25480769230777","0.18665479997639","0.341618557245231",0.0000000000000000152319424315248
"SometimesTP","0.317241379311189","0.249655267929842","0.39930111177957",0.0000000000000000000235298652390682
"NeverTP","0.279369627507472","0.237773057430404","0.326690272146876",0.00000000000000000000000000000000000000000000000000000531825350805776
"SometimesWashHands","0.291169451074468","0.237070085613435","0.354957129427657",0.000000000000000000000000000000157308822442251
"NeverWashHands","0.285714285714681","0.245766358817782","0.3307992137668",0.0000000000000000000000000000000000000000000000000000000000178829701384877
"WaterWashHands","0.28943089430939","0.244308685019586","0.341134789424971",0.000000000000000000000000000000000000000000000254265361926128
"AlwashHandsEating","0.338345864662687","0.238826821942706","0.470359497859447",0.00000000561473182172145
"SometimesHandsEating","0.281669150521955","0.239079680801277","0.330230915976783",0.00000000000000000000000000000000000000000000000000136028699919805
"WaterWashEat","0.319148936171074","0.208197603584788","0.475148184930623",0.000000667831512672253
"AlwaysSoil","0.29036295369258","0.250366750835159","0.335429467309274",0.00000000000000000000000000000000000000000000000000000000000861850318943098
"SometimesSoil","0.292650918635675","0.251551031344642","0.339083007298952",0.0000000000000000000000000000000000000000000000000000000102667778396473
"NeverWashFruits","0.289575289575755","0.249119518011546","0.335239894109907",0.000000000000000000000000000000000000000000000000000000000258368410813181
"SometimesWashFruits","0.242537313432861","0.183501066981634","0.315805021235033",0.0000000000000000000000419894434458805
"SometimesRawVeg","0.304347826087627","0.23436903790101","0.390662165811562",0.00000000000000000162441497074794
"AlwaysRawVeg","0.291614518147683","0.251510165256602","0.336797224986091",0.0000000000000000000000000000000000000000000000000000000000139115324182381
"SometimesBarefoot","0.249466950959537","0.202851055962971","0.304279602490611",0.00000000000000000000000000000000000000187230573738736
"AlwaysBarefoot","0.294805194805724","0.253717489834302","0.341183995311272",0.00000000000000000000000000000000000000000000000000000000604756248662587
"NoShoes","0.270562770562979","0.221180311083713","0.32850097005058",0.000000000000000000000000000000000000892874653811305
"Sandals","0.314447592068801","0.252989494286928","0.387748954257176",0.000000000000000000000000764447103169236
"Deworm","0.292358803987215","0.229291117732939","0.36894444176997",0.000000000000000000000111754577368128
"Antibiotic","0.294617563739913","0.251838931936069","0.343166175175142",0.000000000000000000000000000000000000000000000000000278345151525347
"Drugs","0.287564766839795","0.247163046660214","0.333195730021288",0.000000000000000000000000000000000000000000000000000000000278597359208148
"Antimalarial","0.287859824781417","0.248080240719647","0.332693643577943",0.00000000000000000000000000000000000000000000000000000000000337223803977215
"Wheezing","0.287859824781416","0.248080240719647","0.332693643577945",0.00000000000000000000000000000000000000000000000000000000000337223803977215
"Wheezing0y","0.666666666666715","0.017516867622402","24.380079817888",1
"Wheezing0y.1","3.4739130434729","0","0",1
"Wheeze13","0.245009074410195","0.20221457127216","0.294737006660934",0.0000000000000000000000000000000000000000000000818861856925822
"Wheeze412","0.290523690773065","0.250584067001974","0.33551567009642",0.00000000000000000000000000000000000000000000000000000000000553761566959421
"Asthma","0.293080054274087","0.251292799983818","0.340383594543871",0.000000000000000000000000000000000000000000000000000000842720441210489
"Asthma0y","959187.203033019","0.0000000000000000000000000000000000000000065281841608645","0",1
"Asthma0y.1","0.00000437870729167285","0","1075838964197753067126408246864028224246462",1
"NoDoctCon","0.111111112997614","0.0060248850674975","0.591201854033269",0.296814446705306
"Rash","0.294836956522269","0.252865557566792","0.342344392327045",0.00000000000000000000000000000000000000000000000000000185803148928182
"Sneeze","0.288220551378884","0.248386261488044","0.333117736273395",0.00000000000000000000000000000000000000000000000000000000000444454251047734
"HayFever","0.288750000000448","0.248916770975783","0.333636848872668",0.00000000000000000000000000000000000000000000000000000000000392414576791926
"Colds","0.287859824781417","0.248080240719646","0.332693643577944",0.00000000000000000000000000000000000000000000000000000000000337223803977215
